Number	Accession	A's	G's	C's	T's	N's	Length	GC%
5694	CY059254  	253	222	178	206	0	872	46.6
5695	CY059254  	253	222	178	206	0	872	46.6
5696	CY059738  	241	231	181	206	0	872	48.0
5697	CY059738  	241	231	181	206	0	872	48.0
5698	CY059740  	241	230	182	206	0	872	48.0
5699	CY059740  	241	230	182	206	0	872	48.0
5700	CY059741  	241	230	181	207	0	872	47.8
5701	CY059741  	241	230	181	207	0	872	47.8
5702	CY059742  	240	231	181	207	0	872	48.0
5703	CY059742  	240	231	181	207	0	872	48.0
5704	CY059743  	242	229	181	207	0	872	47.7
5705	CY059743  	242	229	181	207	0	872	47.7
5706	CY059744  	240	231	181	207	0	872	48.0
5707	CY059744  	240	231	181	207	0	872	48.0
5708	CY059745  	241	230	181	207	0	872	47.8
5709	CY059745  	241	230	181	207	0	872	47.8
5710	CY059746  	242	229	182	206	0	872	47.8
5711	CY059746  	242	229	182	206	0	872	47.8
5712	CY059747  	242	229	182	206	0	872	47.8
5713	CY059747  	242	229	182	206	0	872	47.8
5714	CY059748  	242	229	182	206	0	872	47.8
5715	CY059748  	242	229	182	206	0	872	47.8
5716	CY059749  	241	230	181	207	0	872	47.8
5717	CY059749  	241	230	181	207	0	872	47.8
5718	CY059752  	241	230	181	207	0	872	47.8
5719	CY059752  	241	230	181	207	0	872	47.8
5720	CY059753  	241	230	181	207	0	872	47.8
5721	CY059753  	241	230	181	207	0	872	47.8
5722	CY059754  	242	229	181	207	0	872	47.7
5723	CY059754  	242	229	181	207	0	872	47.7
5724	CY059296  	255	220	177	207	0	872	46.2
5725	CY059296  	255	220	177	207	0	872	46.2
5726	CY059755  	240	231	182	206	0	872	48.1
5727	CY059755  	240	231	182	206	0	872	48.1
5728	CY059756  	241	230	182	206	0	872	48.0
5729	CY059756  	241	230	182	206	0	872	48.0
5730	CY059757  	241	229	180	209	0	872	47.6
5731	CY059757  	241	229	180	209	0	872	47.6
5732	CY059758  	240	232	181	206	0	872	48.1
5733	CY059758  	240	232	181	206	0	872	48.1
5734	CY059759  	241	230	181	207	0	872	47.8
5735	CY059759  	241	230	181	207	0	872	47.8
5736	CY059760  	242	230	181	206	0	872	47.8
5737	CY059760  	242	230	181	206	0	872	47.8
5738	CY059761  	242	229	181	207	0	872	47.7
5739	CY059761  	242	229	181	207	0	872	47.7
5740	CY058998  	254	221	179	205	0	872	46.6
5741	CY058998  	254	221	179	205	0	872	46.6
5742	CY059855  	242	229	181	207	0	872	47.7
5743	CY059855  	242	229	181	207	0	872	47.7
5744	CY059763  	242	230	182	205	0	872	48.0
5745	CY059763  	242	230	182	205	0	872	48.0
5746	CY059764  	241	229	181	208	0	872	47.7
5747	CY059764  	241	229	181	208	0	872	47.7
5748	CY058999  	252	222	179	206	0	872	46.7
5749	CY058999  	252	222	179	206	0	872	46.7
5750	CY059118  	255	220	178	206	0	872	46.3
5751	CY059118  	255	220	178	206	0	872	46.3
5752	CY059633  	243	228	182	206	0	872	47.7
5753	CY059633  	243	228	182	206	0	872	47.7
5754	CY059765  	241	230	181	207	0	872	47.8
5755	CY059765  	241	230	181	207	0	872	47.8
5756	CY058962  	250	222	180	207	0	872	46.8
5757	CY058962  	250	222	180	207	0	872	46.8
5758	CY059766  	241	230	181	207	0	872	47.8
5759	CY059766  	241	230	181	207	0	872	47.8
5760	CY059767  	242	229	181	207	0	872	47.7
5761	CY059767  	242	229	181	207	0	872	47.7
5762	CY059768  	242	229	181	207	0	872	47.7
5763	CY059768  	242	229	181	207	0	872	47.7
5764	CY059769  	243	229	181	206	0	872	47.7
5765	CY059769  	243	229	181	206	0	872	47.7
5766	CY059770  	242	229	181	207	0	872	47.7
5767	CY059770  	242	229	181	207	0	872	47.7
5768	CY059771  	242	230	181	206	0	872	47.8
5769	CY059771  	242	230	181	206	0	872	47.8
5770	CY059772  	242	229	181	207	0	872	47.7
5771	CY059772  	242	229	181	207	0	872	47.7
5772	CY059774  	242	229	181	207	0	872	47.7
5773	CY059774  	242	229	181	207	0	872	47.7
5774	CY059775  	241	229	181	208	0	872	47.7
5775	CY059775  	241	229	181	208	0	872	47.7
5776	CY059776  	242	230	181	206	0	872	47.8
5777	CY059776  	242	230	181	206	0	872	47.8
5778	CY059777  	241	229	181	208	0	872	47.7
5779	CY059777  	241	229	181	208	0	872	47.7
5780	EF587274  	781	597	448	515	0	2375	44.6
5781	EF587275  	807	543	465	526	0	2375	43.1
5782	EF587276  	740	532	459	502	0	2265	44.4
5783	EF587277  	613	407	332	427	0	1805	41.5
5784	EF587278  	496	430	312	328	0	1589	47.4
5785	EF587279  	411	358	256	374	0	1419	43.9
5786	EF587280  	288	277	217	245	0	1042	48.1
5787	EF587280  	288	277	217	245	0	1042	48.1
5788	EF587281  	283	208	180	204	0	888	44.3
5789	EF587281  	283	208	180	204	0	888	44.3
5790	GQ183617  	610	385	318	415	0	1753	40.7
5791	GQ183618  	291	255	208	240	0	1009	46.6
5792	GQ183618  	291	255	208	240	0	1009	46.6
5793	GQ183619  	454	329	263	370	0	1437	41.8
5794	GQ183620  	494	398	294	313	0	1521	46.2
5795	GQ183621  	282	202	176	216	0	889	43.2
5796	GQ183621  	282	202	176	216	0	889	43.2
5797	GQ183622  	722	535	432	513	0	2234	43.9
5798	GQ183623  	812	518	439	508	0	2310	42.0
5799	GQ183624  	775	590	433	499	0	2330	44.5
5800	GQ225370  	770	587	432	491	0	2313	44.7
5801	GQ225371  	811	517	438	508	0	2307	42.0
5802	GQ225372  	706	528	421	496	0	2182	44.1
5803	GQ225373  	599	379	315	408	0	1726	40.8
5804	GQ225374  	493	398	293	313	0	1519	46.2
5805	GQ225375  	451	329	263	367	0	1431	42.0
5806	GQ225376  	285	254	208	235	0	997	47.0
5807	GQ225376  	285	254	208	235	0	997	47.0
5808	GQ225377  	264	200	168	206	0	850	43.9
5809	GQ225377  	264	200	168	206	0	850	43.9
5810	GQ183625  	608	385	318	415	0	1751	40.7
5811	GQ183626  	291	255	208	240	0	1009	46.6
5812	GQ183626  	291	255	208	240	0	1009	46.6
5813	GQ183627  	454	329	263	370	0	1437	41.8
5814	GQ183628  	494	398	294	313	0	1521	46.2
5815	GQ183629  	281	202	176	216	0	888	43.2
5816	GQ183629  	281	202	176	216	0	888	43.2
5817	GQ183630  	722	535	432	513	0	2234	43.9
5818	GQ183631  	820	520	443	517	0	2333	41.9
5819	GQ183632  	770	587	432	493	0	2315	44.7
5820	CY008156  	555	412	357	419	0	1768	44.1
5821	CY008157  	292	271	214	250	0	1042	47.2
5822	CY008157  	292	271	214	250	0	1042	47.2
5823	CY008158  	456	352	271	374	0	1474	42.9
5824	CY008159  	512	407	310	335	0	1587	45.8
5825	CY008160  	289	210	171	205	0	888	43.5
5826	CY008160  	289	210	171	205	0	888	43.5
5827	CY008161  	744	527	418	541	1	2263	42.4
5828	CY008162  	823	531	460	521	0	2369	42.4
5829	CY008162  	823	531	460	521	0	2369	42.4
5830	CY008163  	806	577	415	539	0	2371	42.4
5831	L07340    	491	393	301	323	0	1530	46.0
5832	CY060161  	242	233	186	198	0	872	48.8
5833	CY060161  	242	233	186	198	0	872	48.8
5834	CY059625  	245	226	182	206	0	872	47.5
5835	CY059625  	245	226	182	206	0	872	47.5
5836	M25932    	812	522	448	559	0	2375	41.4
5837	CY059626  	241	230	180	208	0	872	47.7
5838	CY059626  	241	230	180	208	0	872	47.7
5839	CY058938  	244	226	182	207	0	872	47.5
5840	CY058938  	244	226	182	207	0	872	47.5
5841	AF180609  	331	213	218	225	0	1002	43.7
5842	EU501207  	338	207	217	225	0	1002	43.0
5843	EU514666  	342	207	214	224	0	1002	42.7
5844	CY059627  	241	230	181	207	0	872	47.8
5845	CY059627  	241	230	181	207	0	872	47.8
5846	CY059629  	245	225	183	206	0	872	47.5
5847	CY059629  	245	225	183	206	0	872	47.5
5848	EU514621  	337	210	215	225	0	1002	43.1
5849	GU968907  	600	379	315	407	0	1726	40.8
5850	GU968908  	603	377	314	407	0	1726	40.6
5851	AF180586  	335	210	216	226	0	1002	43.2
5852	AB304819  	303	197	197	205	0	915	43.7
5853	AJ457900  	355	223	220	243	0	1056	42.6
5854	AY289928  	624	396	325	430	0	1801	40.6
5855	CY033614  	598	388	315	422	0	1748	40.8
5856	CY033615  	288	256	205	237	0	1001	46.8
5857	CY033615  	288	256	205	237	0	1001	46.8
5858	CY033616  	455	339	250	378	0	1443	41.4
5859	CY033617  	493	401	312	320	0	1548	46.7
5860	CY033618  	267	208	161	210	0	859	43.6
5861	CY033618  	267	208	161	210	0	859	43.6
5862	CY033619  	730	529	404	537	0	2232	42.4
5863	CY033620  	799	516	436	553	0	2337	41.3
5864	CY033620  	799	516	436	553	0	2337	41.3
5865	CY033621  	805	552	414	528	0	2332	42.0
5866	EF541421  	353	219	220	237	3	1047	42.5
5867	AF008762  	326	217	216	228	0	1002	43.9
5868	GQ225378  	770	587	432	491	0	2313	44.7
5869	GQ225379  	812	516	440	506	0	2307	42.0
5870	GQ225380  	705	529	423	494	0	2182	44.3
5871	GQ225381  	599	379	315	408	0	1726	40.8
5872	GQ225382  	495	396	294	312	0	1519	46.1
5873	GQ225383  	450	330	262	368	0	1431	42.0
5874	GQ225384  	286	253	207	236	0	997	46.8
5875	GQ225384  	286	253	207	236	0	997	46.8
5876	GQ225385  	264	200	168	206	0	850	43.9
5877	GQ225385  	264	200	168	206	0	850	43.9
5878	CY059630  	244	227	184	204	0	872	47.8
5879	CY059630  	244	227	184	204	0	872	47.8
5880	EU514678  	340	205	217	225	0	1002	42.8
5881	AF008812  	322	223	216	226	0	1002	44.5
5882	AY661130  	351	252	234	258	0	1111	44.4
5883	CY033606  	568	393	345	409	0	1740	43.0
5884	CY033607  	282	258	208	236	0	999	47.4
5885	CY033607  	282	258	208	236	0	999	47.4
5886	CY033608  	444	336	274	376	0	1451	42.7
5887	CY033609  	500	402	298	325	0	1547	45.9
5888	CY033610  	283	198	163	202	0	859	42.7
5889	CY033610  	283	198	163	202	0	859	42.7
5890	CY033611  	740	514	411	526	0	2223	42.2
5891	CY033612  	822	517	449	512	0	2333	42.0
5892	CY033612  	822	517	449	512	0	2333	42.0
5893	CY033613  	788	568	416	520	0	2325	42.9
5894	D30667    	271	193	160	188	0	824	43.5
5895	L76035    	321	221	217	225	0	999	44.5
5896	U26830    	560	392	343	406	0	1726	43.2
5897	Z46392    	338	242	223	238	0	1056	44.7
5898	L07374    	511	411	308	335	0	1588	45.9
5899	CY048938  	196	156	102	157	0	620	42.2
5900	CY048939  	68	56	42	77	0	247	40.3
5901	CY048940  	269	203	169	207	0	861	43.9
5902	CY048940  	269	203	169	207	0	861	43.9
5903	CY048941  	68	56	42	76	0	246	40.5
5904	CY048942  	102	67	47	79	0	300	38.6
5905	CY048943  	67	56	42	76	0	245	40.7
5906	CY048944  	164	141	106	109	0	528	47.5
5907	CY048945  	157	139	80	122	0	506	44.0
5908	CY048946  	67	56	42	76	0	245	40.7
5909	CY048947  	252	198	160	195	0	817	44.5
5910	CY048947  	252	198	160	195	0	817	44.5
5911	CY048951  	64	57	47	73	0	245	43.2
5912	CY048952  	96	61	47	76	0	284	38.6
5913	CY048953  	168	155	96	147	0	575	44.3
5914	CY048954  	67	56	42	76	0	245	40.7
5915	CY048955  	274	210	172	201	0	870	44.6
5916	CY048955  	274	210	172	201	0	870	44.6
5917	CY048948  	394	321	238	323	0	1295	43.8
5918	CY048949  	64	56	46	70	0	240	43.2
5919	CY048950  	279	187	154	196	0	828	41.8
5920	CY048950  	279	187	154	196	0	828	41.8
5921	CY048956  	64	57	47	73	0	245	43.2
5922	CY048957  	67	56	42	76	0	245	40.7
5923	CY048958  	67	56	42	76	0	245	40.7
5924	CY048959  	69	59	40	73	0	245	41.1
5925	CY048960  	64	57	47	73	0	245	43.2
5926	D30670    	265	188	159	186	0	810	43.5
5927	D43786    	321	225	214	227	0	1002	44.5
5928	D49961    	354	257	235	267	0	1129	44.2
5929	L07353    	511	411	307	336	0	1588	45.9
5930	X75800    	351	256	229	250	0	1102	44.7
5931	CY048961  	49	41	33	54	0	180	41.8
5932	CY048962  	250	197	158	192	0	809	44.5
5933	CY048962  	250	197	158	192	0	809	44.5
5934	AF008684  	323	221	216	227	0	1002	44.3
5935	AF401293  	280	259	208	235	0	997	47.6
5936	AF401293  	280	259	208	235	0	997	47.6
5937	AY661066  	557	391	344	398	0	1715	43.5
5938	DQ508830  	785	563	417	515	0	2313	43.0
5939	DQ508831  	814	512	446	502	0	2307	42.1
5940	DQ508832  	731	505	402	513	0	2182	42.2
5941	DQ508833  	560	393	344	404	0	1726	43.3
5942	DQ508834  	488	397	294	318	0	1519	46.2
5943	DQ508835  	435	338	272	365	0	1431	43.3
5944	DQ508836  	282	258	208	235	0	998	47.4
5945	DQ508836  	282	258	208	235	0	998	47.4
5946	DQ508837  	283	197	164	202	0	859	42.7
5947	DQ508837  	283	197	164	202	0	859	42.7
5948	L07354    	511	411	306	337	0	1588	45.8
5949	L76036    	322	221	215	226	0	999	44.3
5950	U97740    	566	393	344	411	0	1739	43.0
5951	Z46391    	338	240	222	241	0	1056	44.4
5952	CY048963  	67	56	42	77	0	246	40.5
5953	CY048964  	67	56	42	76	0	245	40.7
5954	CY048967  	67	56	42	76	0	245	40.7
5955	CY048968  	317	213	161	212	0	916	41.4
5956	CY048969  	210	163	137	141	0	661	46.1
5957	CY048970  	224	202	135	190	0	762	44.9
5958	CY048971  	64	57	47	73	0	245	43.2
5959	CY048972  	287	191	157	200	0	847	41.7
5960	CY048972  	287	191	157	200	0	847	41.7
5961	CY048973  	98	95	52	90	0	340	43.9
5962	CY059569  	241	230	181	207	0	872	47.8
5963	CY059569  	241	230	181	207	0	872	47.8
5964	CY048974  	67	55	41	78	0	245	39.8
5965	CY048975  	208	175	139	141	0	673	47.4
5966	CY048976  	217	186	119	180	0	713	43.4
5967	CY048977  	269	209	172	205	0	868	44.6
5968	CY048977  	269	209	172	205	0	868	44.6
5969	CY048978  	64	57	47	73	0	245	43.2
5970	CY048979  	171	141	111	109	0	540	47.4
5971	CY048980  	211	182	119	178	0	700	43.6
5972	CY048981  	67	56	42	76	0	245	40.7
5973	CY048982  	251	196	155	190	0	804	44.3
5974	CY048982  	251	196	155	190	0	804	44.3
5975	CY048983  	64	57	47	73	0	245	43.2
5976	CY048984  	226	187	119	144	0	686	45.3
5977	CY048985  	421	328	264	356	0	1389	43.2
5978	CY048986  	64	57	47	73	0	245	43.2
5979	CY048987  	259	175	144	180	0	769	42.1
5980	CY048987  	259	175	144	180	0	769	42.1
5981	CY048988  	64	57	47	73	0	245	43.2
5982	CY048989  	64	57	48	72	0	245	43.6
5983	CY048990  	238	188	152	184	0	773	44.6
5984	CY048990  	238	188	152	184	0	773	44.6
5985	CY006044  	571	414	360	419	0	1790	43.9
5986	CY006045  	293	270	216	248	0	1042	47.3
5987	CY006045  	293	270	216	248	0	1042	47.3
5988	CY006046  	452	354	274	385	0	1486	42.9
5989	CY006047  	510	408	310	337	0	1588	45.9
5990	CY006048  	280	202	170	201	0	866	43.6
5991	CY006048  	280	202	170	201	0	866	43.6
5992	CY006049  	747	526	418	541	0	2264	42.3
5993	CY006050  	818	522	449	510	0	2332	42.2
5994	CY006050  	818	522	449	510	0	2332	42.2
5995	CY006051  	799	579	421	539	1	2373	42.8
5996	L07358    	510	408	309	338	0	1588	45.8
5997	CY048991  	180	170	129	165	8	662	45.9
5998	CY048991  	180	170	129	165	8	662	45.9
5999	AF008670  	320	225	217	225	0	1002	44.8
6000	L18994    	322	224	216	225	0	1002	44.6
6001	L19000    	320	225	217	225	0	1002	44.8
6002	GQ232090  	768	589	432	491	0	2313	44.8
6003	GQ232091  	811	517	439	507	0	2307	42.0
6004	GQ232092  	705	529	421	496	0	2182	44.2
6005	GQ232093  	599	379	314	409	0	1726	40.7
6006	GQ232094  	493	398	294	312	0	1519	46.2
6007	GQ232095  	451	329	263	367	0	1431	42.0
6008	GQ232096  	284	255	208	235	0	997	47.1
6009	GQ232096  	284	255	208	235	0	997	47.1
6010	GQ232097  	264	200	168	206	0	850	43.9
6011	GQ232097  	264	200	168	206	0	850	43.9
6012	CY048992  	182	179	132	173	0	676	46.7
6013	CY048992  	182	179	132	173	0	676	46.7
6014	CY048993  	178	165	126	165	10	654	45.2
6015	CY048993  	178	165	126	165	10	654	45.2
6016	AF008813  	321	223	215	228	0	1002	44.4
6017	AF008698  	324	218	217	228	0	1002	44.1
6018	GQ223408  	599	379	315	408	0	1726	40.8
6019	GQ223409  	286	253	206	237	0	997	46.7
6020	GQ223409  	286	253	206	237	0	997	46.7
6021	GQ223410  	495	396	294	312	0	1519	46.1
6022	GQ223411  	264	200	168	206	0	850	43.9
6023	GQ223411  	264	200	168	206	0	850	43.9
6024	GQ223412  	769	588	432	491	0	2313	44.7
6025	GQ223413  	812	516	439	507	0	2307	42.0
6026	GQ223414  	704	529	423	495	0	2182	44.3
6027	GQ223415  	450	330	262	368	0	1431	42.0
6028	GQ290105  	705	529	422	495	0	2182	44.2
6029	GQ290106  	599	379	315	408	0	1726	40.8
6030	GQ290107  	450	330	262	368	0	1431	42.0
6031	GQ290108  	284	251	205	232	0	986	46.9
6032	GQ290108  	284	251	205	232	0	986	46.9
6033	GQ290109  	494	397	294	312	0	1519	46.2
6034	GQ290110  	264	200	168	206	0	850	43.9
6035	GQ290110  	264	200	168	206	0	850	43.9
6036	GQ290111  	812	516	439	507	0	2307	42.0
6037	GQ290112  	770	587	432	491	0	2313	44.7
6038	EU514677  	341	206	213	226	1	1002	42.5
6039	CY058958  	251	223	180	205	0	872	46.9
6040	CY058958  	251	223	180	205	0	872	46.9
6041	AF008662  	318	225	220	224	0	1002	45.1
6042	CY059631  	240	231	181	207	0	872	48.0
6043	CY059631  	240	231	181	207	0	872	48.0
6044	AF180608  	331	213	218	225	0	1002	43.7
6045	CY053333  	493	386	296	307	0	1504	46.0
6046	CY053334  	284	251	206	236	0	991	46.8
6047	CY053334  	284	251	206	236	0	991	46.8
6048	CY053335  	264	201	169	207	0	854	44.0
6049	CY053335  	264	201	169	207	0	854	44.0
6050	CY053336  	769	587	431	498	0	2318	44.6
6051	CY053337  	710	533	422	505	0	2201	44.0
6052	CY053338  	618	379	316	411	0	1749	40.3
6053	CY053339  	493	387	297	307	0	1506	46.1
6054	CY053340  	450	332	265	364	0	1432	42.3
6055	CY053341  	284	251	206	236	0	991	46.8
6056	CY053341  	284	251	206	236	0	991	46.8
6057	CY053342  	260	200	166	198	0	836	44.4
6058	CY053342  	260	200	166	198	0	836	44.4
6059	CY053343  	492	386	295	307	0	1502	46.0
6060	CY053344  	448	334	265	362	0	1430	42.5
6061	CY053345  	284	251	206	236	0	991	46.8
6062	CY053345  	284	251	206	236	0	991	46.8
6063	CY053346  	260	200	166	198	0	836	44.4
6064	CY053346  	260	200	166	198	0	836	44.4
6065	CY053347  	711	532	422	506	0	2203	43.9
6066	CY053348  	617	380	316	409	0	1747	40.4
6067	CY053349  	493	386	297	307	0	1505	46.1
6068	CY053350  	448	332	264	362	0	1427	42.4
6069	CY053351  	284	251	206	236	0	991	46.8
6070	CY053351  	284	251	206	236	0	991	46.8
6071	CY053352  	261	200	167	201	0	841	44.3
6072	CY053352  	261	200	167	201	0	841	44.3
6073	CY053353  	613	378	319	411	0	1746	40.5
6074	CY053354  	491	384	295	306	0	1498	46.0
6075	CY053355  	285	251	206	236	0	992	46.7
6076	CY053355  	285	251	206	236	0	992	46.7
6077	CY053356  	262	201	167	202	0	844	44.2
6078	CY053356  	262	201	167	202	0	844	44.2
6079	CY053357  	492	389	296	304	0	1503	46.3
6080	CY053358  	290	249	209	231	0	993	46.8
6081	CY053358  	290	249	209	231	0	993	46.8
6082	CY053359  	277	210	172	211	0	883	43.9
6083	CY053359  	277	210	172	211	0	883	43.9
6084	CY053360  	284	252	207	235	0	992	46.9
6085	CY053360  	284	252	207	235	0	992	46.9
6086	CY053361  	273	205	169	198	0	858	44.3
6087	CY053361  	273	205	169	198	0	858	44.3
6088	CY053362  	283	250	206	233	0	986	46.9
6089	CY053362  	283	250	206	233	0	986	46.9
6090	CY053363  	260	199	164	195	0	830	44.4
6091	CY053363  	260	199	164	195	0	830	44.4
6092	CY059632  	241	230	181	207	0	872	47.8
6093	CY059632  	241	230	181	207	0	872	47.8
6094	FJ376983  	225	173	127	171	0	706	43.1
6095	GU968910  	599	380	314	408	0	1726	40.8
6096	GU968911  	600	379	315	407	0	1726	40.8
6097	GU968912  	601	378	316	406	0	1726	40.8
6098	GU968913  	600	379	314	408	0	1726	40.7
6099	GU968914  	600	378	315	408	0	1726	40.7
6100	GU968915  	599	380	315	407	0	1726	40.9
6101	GU968916  	601	378	313	409	0	1726	40.6
6102	GU968917  	601	378	315	407	0	1726	40.7
6103	GU968918  	601	377	313	410	0	1726	40.6
6104	GU968919  	600	380	313	408	0	1726	40.7
6105	GU968920  	600	379	315	407	0	1726	40.8
6106	GU968921  	600	379	314	408	0	1726	40.7
6107	GU968909  	599	380	314	408	0	1726	40.8
6108	CY052051  	345	203	189	213	0	964	41.3
6109	CY052052  	149	122	78	125	0	481	42.2
6110	CY052053  	153	123	76	121	0	480	42.1
6111	CY052054  	215	131	126	141	0	622	41.9
6112	CY052055  	158	131	83	131	0	511	42.5
6113	CY052056  	141	90	65	105	0	407	38.7
6114	CY052057  	170	132	85	138	0	533	41.3
6115	CY052058  	153	95	63	106	0	423	37.9
6116	CY052059  	109	84	57	89	0	344	41.6
6117	CY052060  	148	95	66	110	0	425	38.4
6118	CY052061  	128	109	62	103	0	408	42.5
6119	CY052062  	211	127	120	135	0	602	41.7
6120	CY052063  	173	146	94	134	0	555	43.9
6121	CY052064  	167	105	75	117	0	471	38.8
6122	CY052065  	135	109	69	109	0	429	42.2
6123	CY052066  	308	189	143	187	0	839	40.1
6124	CY052067  	138	111	70	116	0	442	41.6
6125	CY052068  	335	218	166	231	0	964	40.4
6126	CY052069  	118	100	56	96	0	376	42.2
6127	GQ274325  	134	89	78	96	0	403	42.1
6128	AY835671  	49	42	25	51	0	170	40.1
6129	AY836589  	43	38	28	45	0	157	42.9
6130	AY835670  	48	42	26	51	0	170	40.7
6131	AF201844  	343	259	228	261	0	1107	44.6
6132	DQ179408  	324	204	211	221	0	974	43.2
6133	DQ179412  	319	209	210	222	0	974	43.6
6134	DQ179399  	312	206	205	218	1	956	43.6
6135	DQ179400  	310	208	206	218	0	956	43.9
6136	DQ179405  	322	208	210	220	0	974	43.5
6137	FJ403562  	461	329	253	370	0	1434	41.2
6138	FJ654300  	554	367	298	393	0	1636	41.3
6139	HM189402  	598	379	315	409	0	1726	40.8
6140	CY075485  	629	386	326	419	0	1786	40.5
6141	CY075486  	287	231	158	236	0	926	42.7
6142	CY073179  	770	586	435	489	0	2313	44.8
6143	CY073180  	810	518	439	507	0	2307	42.1
6144	CY073181  	709	525	422	495	0	2182	44.0
6145	CY073182  	600	379	315	407	0	1726	40.8
6146	CY073183  	497	394	294	312	0	1519	46.0
6147	CY073184  	451	329	262	368	0	1431	41.9
6148	CY073185  	286	253	208	235	0	997	46.9
6149	CY073185  	286	253	208	235	0	997	46.9
6150	CY073186  	262	202	169	205	0	850	44.3
6151	CY073186  	262	202	169	205	0	850	44.3
6152	CY073187  	770	586	435	489	0	2313	44.8
6153	CY073189  	708	526	422	495	0	2182	44.1
6154	CY073190  	600	379	315	407	0	1726	40.8
6155	CY073191  	497	394	294	312	0	1519	46.0
6156	CY073192  	451	329	262	368	0	1431	41.9
6157	CY073193  	286	253	208	235	0	997	46.9
6158	CY073193  	286	253	208	235	0	997	46.9
6159	CY073194  	264	205	170	207	0	859	44.3
6160	CY073194  	264	205	170	207	0	859	44.3
6161	CY073195  	768	587	435	490	0	2313	44.8
6162	CY073197  	708	526	422	495	0	2182	44.1
6163	CY073198  	600	379	315	407	0	1726	40.8
6164	CY073199  	497	394	294	312	0	1519	46.0
6165	CY073200  	451	329	262	368	0	1431	41.9
6166	CY073201  	286	253	208	235	0	997	46.9
6167	CY073201  	286	253	208	235	0	997	46.9
6168	CY073202  	265	204	170	207	0	859	44.2
6169	CY073202  	265	204	170	207	0	859	44.2
6170	CY073203  	770	586	435	489	0	2313	44.8
6171	CY073204  	810	518	440	506	0	2307	42.1
6172	CY073205  	709	525	422	495	0	2182	44.0
6173	CY073206  	600	379	315	407	0	1726	40.8
6174	CY073207  	497	394	294	312	0	1519	46.0
6175	CY073208  	451	329	262	368	0	1431	41.9
6176	CY073209  	286	253	208	235	0	997	46.9
6177	CY073209  	286	253	208	235	0	997	46.9
6178	CY073210  	262	203	169	206	0	852	44.3
6179	CY073210  	262	203	169	206	0	852	44.3
6180	CY073211  	770	586	435	489	0	2313	44.8
6181	CY073212  	810	518	440	506	0	2307	42.1
6182	CY073213  	709	525	422	495	0	2182	44.0
6183	CY073214  	600	379	315	407	0	1726	40.8
6184	CY073215  	497	394	294	312	0	1519	46.0
6185	CY073216  	451	329	262	368	0	1431	41.9
6186	CY073217  	286	253	208	235	0	997	46.9
6187	CY073217  	286	253	208	235	0	997	46.9
6188	CY073218  	264	203	169	207	0	856	44.1
6189	CY073218  	264	203	169	207	0	856	44.1
6190	CY073219  	768	587	432	493	0	2313	44.7
6191	CY073220  	810	518	440	506	0	2307	42.1
6192	CY073221  	707	528	422	494	0	2182	44.2
6193	CY073222  	599	379	315	408	0	1726	40.8
6194	CY073223  	497	394	294	312	0	1519	46.0
6195	CY073224  	450	330	263	367	0	1431	42.1
6196	CY073225  	287	252	208	235	0	997	46.8
6197	CY073225  	287	252	208	235	0	997	46.8
6198	CY073226  	264	203	168	208	0	856	44.0
6199	CY073226  	264	203	168	208	0	856	44.0
6200	CY073227  	768	588	431	493	0	2313	44.7
6201	CY073228  	811	517	440	506	0	2307	42.1
6202	CY073229  	707	528	422	494	0	2182	44.2
6203	CY073230  	600	379	315	407	0	1726	40.8
6204	CY073231  	497	394	294	312	0	1519	46.0
6205	CY073232  	450	330	263	367	0	1431	42.1
6206	CY073233  	287	252	208	235	0	997	46.8
6207	CY073233  	287	252	208	235	0	997	46.8
6208	CY073234  	265	203	168	208	0	857	44.0
6209	CY073234  	265	203	168	208	0	857	44.0
6210	CY073235  	771	585	435	489	0	2313	44.7
6211	CY073237  	708	526	422	495	0	2182	44.1
6212	CY073238  	600	379	315	407	0	1726	40.8
6213	CY073239  	497	394	294	312	0	1519	46.0
6214	CY073240  	451	329	262	368	0	1431	41.9
6215	CY073241  	286	253	208	235	0	997	46.9
6216	CY073241  	286	253	208	235	0	997	46.9
6217	CY073242  	264	205	170	207	0	859	44.3
6218	CY073242  	264	205	170	207	0	859	44.3
6219	CY073243  	771	585	435	489	0	2313	44.7
6220	CY073245  	708	526	422	495	0	2182	44.1
6221	CY073246  	600	379	315	407	0	1726	40.8
6222	CY073247  	497	394	294	312	0	1519	46.0
6223	CY073248  	451	329	262	368	0	1431	41.9
6224	CY073249  	286	253	208	235	0	997	46.9
6225	CY073249  	286	253	208	235	0	997	46.9
6226	CY073250  	265	204	170	207	0	859	44.2
6227	CY073250  	265	204	170	207	0	859	44.2
6228	CY009276  	620	393	327	404	0	1769	41.3
6229	CY009277  	278	263	208	241	0	1005	47.6
6230	CY009277  	278	263	208	241	0	1005	47.6
6231	CY009278  	432	357	249	382	0	1441	42.7
6232	CY009279  	494	407	310	326	0	1559	46.6
6233	CY009280  	276	210	172	203	0	874	44.4
6234	CY009280  	276	210	172	203	0	874	44.4
6235	CY009281  	738	520	416	532	0	2238	42.4
6236	CY009282  	798	516	441	539	0	2327	41.7
6237	CY009282  	798	516	441	539	0	2327	41.7
6238	CY009283  	782	578	420	531	2	2347	43.1
6239	HQ008262  	242	157	135	203	0	748	39.6
